,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.842571783065796,0.017620452036154154,0.01775503158569336,0.00012962228553937182,sqrt,100,"{'max_features': 'sqrt', 'n_estimators': 100}",0.9698275862068966,0.9719222462203023,0.9503239740820735,0.9654427645788337,0.9762419006479481,0.9667516943472109,0.00892012357855555,5
1,3.6653019905090334,0.008083802104601528,0.03271036148071289,0.00019562440699185952,sqrt,200,"{'max_features': 'sqrt', 'n_estimators': 200}",0.9698275862068966,0.9762419006479481,0.9568034557235421,0.9697624190064795,0.9740820734341252,0.9693434870037982,0.0067484005917637455,3
2,5.499449825286865,0.027735682171921374,0.04918613433837891,0.0029972793112145136,sqrt,300,"{'max_features': 'sqrt', 'n_estimators': 300}",0.9719827586206896,0.978401727861771,0.9611231101511879,0.9654427645788337,0.9762419006479481,0.970638452372086,0.00649632430571009,1
3,7.331631088256836,0.038754513887100064,0.06264371871948242,0.00011201324024695917,sqrt,400,"{'max_features': 'sqrt', 'n_estimators': 400}",0.9719827586206896,0.978401727861771,0.9568034557235421,0.9632829373650108,0.9719222462203023,0.9684786251582631,0.007561880686445386,4
4,9.147409534454345,0.06699588610498128,0.07760725021362305,0.00022059445539690555,sqrt,500,"{'max_features': 'sqrt', 'n_estimators': 500}",0.9719827586206896,0.978401727861771,0.9568034557235421,0.9676025917926566,0.9762419006479481,0.9702064869293213,0.007657216846913539,2
5,0.6107881546020508,0.002845633380086202,0.020151758193969728,6.121493476211713e-05,log2,100,"{'max_features': 'log2', 'n_estimators': 100}",0.9633620689655172,0.9611231101511879,0.9395248380129589,0.9481641468682506,0.9568034557235421,0.9537955239442913,0.008827512011598232,10
6,1.2001593589782715,0.006295626479801751,0.03766279220581055,0.00010811880634159736,log2,200,"{'max_features': 'log2', 'n_estimators': 200}",0.9655172413793104,0.9654427645788337,0.9395248380129589,0.9546436285097192,0.9719222462203023,0.9594101437402249,0.011387597775976983,7
7,1.7875580310821533,0.005412779617289689,0.05531091690063476,0.00020194120643441543,log2,300,"{'max_features': 'log2', 'n_estimators': 300}",0.9741379310344828,0.9632829373650108,0.9481641468682506,0.9395248380129589,0.9676025917926566,0.9585424890146721,0.012784022528408644,9
8,2.3806169509887694,0.009516263665627784,0.0729325294494629,0.0003219326584130319,log2,400,"{'max_features': 'log2', 'n_estimators': 400}",0.9676724137931034,0.9719222462203023,0.9460043196544277,0.9395248380129589,0.9697624190064795,0.9589772473374545,0.013462480639878222,8
9,2.97579140663147,0.012293852752843691,0.09103631973266602,0.0013470525656609892,log2,500,"{'max_features': 'log2', 'n_estimators': 500}",0.9633620689655172,0.9676025917926566,0.9546436285097192,0.9438444924406048,0.9697624190064795,0.9598430401429955,0.009528648305113924,6
